['INFO ]2023-05-17 15:56:33,718(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 15:56:33,718(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on login button
['INFO ]2023-05-17 15:56:34,095(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Expected Message - Excel Sheet :  You are logged in
['INFO ]2023-05-17 15:56:34,095(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Actual Message :  You are logged in
['INFO ]2023-05-17 15:56:34,096(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:22,076(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter getchromedriver
['INFO ]2023-05-17 16:56:24,117(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-launch browser
['INFO ]2023-05-17 16:56:24,121(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:24,122(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-current page :https://dsportalapp.herokuapp.com
['INFO ]2023-05-17 16:56:24,292(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-portal opened
['INFO ]2023-05-17 16:56:24,292(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:24,554(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Getstarted btn click
['INFO ]2023-05-17 16:56:26,561(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:26,572(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-NumpyNinja
['INFO ]2023-05-17 16:56:26,574(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigated to home page
['INFO ]2023-05-17 16:56:28,593(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:28,643(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Home Page dropdown click
['INFO ]2023-05-17 16:56:28,643(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter homepage feature
['INFO ]2023-05-17 16:56:28,649(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter dropdownclk
['INFO ]2023-05-17 16:56:30,714(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:30,715(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter arrayselection
['INFO ]2023-05-17 16:56:32,903(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['ERROR]2023-05-17 16:56:32,906(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-shows user not logged in
['INFO ]2023-05-17 16:56:32,949(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:33,044(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Get started button click
['INFO ]2023-05-17 16:56:33,044(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter homepage feature
['INFO ]2023-05-17 16:56:35,225(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['ERROR]2023-05-17 16:56:35,226(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-shows user not logged in
['INFO ]2023-05-17 16:56:35,261(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:35,291(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Login page entered
['INFO ]2023-05-17 16:56:35,291(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-current page :https://dsportalapp.herokuapp.com/login
['INFO ]2023-05-17 16:56:35,363(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:36,192(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User name and password enter
['INFO ]2023-05-17 16:56:36,326(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:36,327(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on login button
['INFO ]2023-05-17 16:56:36,474(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Please fill out this field.
['INFO ]2023-05-17 16:56:36,492(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Expected Message - Excel Sheet :  Please fill out this field.
['INFO ]2023-05-17 16:56:36,493(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Actual Message :  Please fill out this field.
['INFO ]2023-05-17 16:56:36,493(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:36,511(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Login page entered
['INFO ]2023-05-17 16:56:36,512(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-current page :https://dsportalapp.herokuapp.com/login
['INFO ]2023-05-17 16:56:36,592(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:36,638(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User name and password enter
['INFO ]2023-05-17 16:56:36,750(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:36,751(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on login button
['INFO ]2023-05-17 16:56:36,867(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Please fill out this field.
['INFO ]2023-05-17 16:56:36,887(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Expected Message - Excel Sheet :  Please fill out this field.
['INFO ]2023-05-17 16:56:36,888(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Actual Message :  Please fill out this field.
['INFO ]2023-05-17 16:56:36,888(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:36,932(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Login page entered
['INFO ]2023-05-17 16:56:36,932(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-current page :https://dsportalapp.herokuapp.com/login
['INFO ]2023-05-17 16:56:37,025(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:37,070(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User name and password enter
['INFO ]2023-05-17 16:56:37,190(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:37,191(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on login button
['INFO ]2023-05-17 16:56:37,401(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Expected Message - Excel Sheet :  Invalid Username and Password
['INFO ]2023-05-17 16:56:37,401(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Actual Message :  Invalid Username and Password
['INFO ]2023-05-17 16:56:37,402(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-enter after hook
['INFO ]2023-05-17 16:56:37,427(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Login page entered
['INFO ]2023-05-17 16:56:37,427(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-current page :https://dsportalapp.herokuapp.com/login
